recordingid|sourceartist|recording_artist|recordname|recartistcredit
6971477|The Beatles|1-4-5's|I'm Down|442229
3123150|The Rolling Stones|100 Watt Smile|Miss You|199721
11332833|The Beatles|101 Strings Orchestra|Eleanor Rigby|57991
11332834|The Beatles|101 Strings Orchestra|Hey Jude|57991
11332836|The Beatles|101 Strings Orchestra|Michelle|57991
11332835|The Beatles|101 Strings Orchestra|Yesterday|57991
1939493|The Beatles|10cc|Across the Universe|18
1939496|The Beatles|10cc|Paperback Writer|18
3359594|The Beatles|13th Floor Elevators|Roll Over Beethoven|921119
18076483|The Beatles|27|Let It Be|80371
3350280|The Rolling Stones|38 Special|Around and Around|1074265
283770|The Rolling Stones|386 DX|Jumpin’ Jack Flash|23608
283782|The Rolling Stones|386 DX|Satisfaction|23608
12263489|The Beatles|39 Clocks|Twisted & Shouts|79873
2541563|The Beatles|46bliss|Across the Universe|170282
12334941|The Beatles|48th St. Collective|Come Together|307334
3210951|The Beatles|5-Driver|Johnny B. Goode|204764
4080333|The Beatles|60ft Dolls|Everybody's Got Something to Hide (Except for Me and My Monkey)|80362
9884055|The Beatles|8 Bit Weapon & ComputeHer|Eleanor Rigby|817964
9884054|The Beatles|8-Bit Operators|Tomorrow Never Knows Megamix|650139
879620|The Beatles|801|T.N.K. (Tomorrow Never Knows)|65781
18301954|The Beatles|805|I Am the Walrus|1235780
7635329|The Rolling Stones|808 State|Gimme Shelter|1614
1084341|The Beatles|88 Fingers Louie|Help|38242
8217597|The Rolling Stones|999|Fortune Teller|2774
9806034|The Rolling Stones|? and the Mysterians|(I Can't Get No) Satisfaction|301611
10128444|The Rolling Stones|? and the Mysterians|Satisfaction|301611
6525322|The Beatles|? and the Mysterians|Shout, Parts 1 & 2|301611
8418458|The Beatles|A Cuckoo|Honey Pie|554880
11143442|The Rolling Stones|A Loss for Words|My Girl|343656
3123151|The Rolling Stones|A Subtle Plague|Might as Well Get Juiced|160257
5789069|The Beatles|A Witness|Tomorrow Never Knows|126980
6971482|The Beatles|A.K.A. & The Charlatans|She Said, She Said|886192
572601|The Beatles|AC/DC|Bonny|1352
538488|The Beatles|AC/DC|Johnny B. Goode|1352
3907866|The Beatles|AC/DC|Johnny B. Goode (07.07.1979; Sioux Falls, Arena - With Cheap Trick)|1352
8198039|The Beatles|AC/DC|Johnny Be Goode (live Bon Scott)|1352
7807342|The Rolling Stones|AC/DC & The Rolling Stones|Angie|841875
7807338|The Rolling Stones|AC/DC & The Rolling Stones|Brown Sugar|841875
7807349|The Rolling Stones|AC/DC & The Rolling Stones|I Just Want to Make Love to You|841875
7807346|The Rolling Stones|AC/DC & The Rolling Stones|Slipping Away|841875
7807339|The Rolling Stones|AC/DC & The Rolling Stones|Start Me Up|841875
7807348|The Rolling Stones|AC/DC & The Rolling Stones|Sympathy for the Devil|841875
7807345|The Rolling Stones|AC/DC & The Rolling Stones|Tumbling Dice|841875
8197270|The Beatles|AC/DC with Cheap Trick|Johnny B. Goode (Bon on Vocals With Cheap Trick)|1080208
13128810|The Rolling Stones|ACM Gospel Choir, City of Bath Male Choir, Only Men Aloud, Revelation, Sense of Sound & Ysgol Glanaethwy|Someone to Love|921145
14120083|The Beatles|AG|From Me to You|1071363
14120080|The Beatles|AG|I Wanna Be Your Man|1071363
14120080|The Rolling Stones|AG|I Wanna Be Your Man|1071363
14120084|The Beatles|AG|Misery|1071363
14120082|The Beatles|AG|Saw Her Standing There|1071363
14120081|The Beatles|AG|She Loves You|1071363
14120085|The Beatles|AG|There's a Place|1071363
12033932|The Beatles|AM|While My Guitar Gently Weeps|477378
6484805|The Beatles|Aaron Charles|The Long and Winding Road|125838
5001893|The Beatles|Aaron Neville|Let It Be|2821
6266222|The Rolling Stones|Aaron Neville|My Girl|2821
14485802|The Rolling Stones|Aaron Neville|Under The Boardwalk|2821
17618051|The Beatles|Abe Lyman & His California Orchestra|Besame Mucho|1472515
15897041|The Beatles|Acda en De Munnik|Norwegian Wood|61909
3068400|The Beatles|Ace Cannon|Kansas City|82643
18881352|The Rolling Stones|Ace Frehley|Street Fighting Man|112760
19168682|The Beatles|Achim Mentzel|Sie liebt dich, yeah, yeah, yeah|421416
7952496|The Beatles|Achinoam Nini & Gil Dor|Drive My Car|838712
7952488|The Beatles|Achinoam Nini & Gil Dor|I Will|838712
11401227|The Rolling Stones|Acid Drinkers|2000 Man|52587
2538538|The Rolling Stones|Acid Drinkers|Satisfaction|52587
2331609|The Rolling Stones|Acid Mothers Temple & The Melting Paraiso U.F.O.|Paint It Black|184608
15883330|The Beatles|Acker Bilk|A Taste of Honey|331
41924|The Beatles|Acker Bilk|Here, There & Everywhere|331
8210825|The Beatles|Acker Bilk|Hey Jude|331
4148977|The Beatles|Acker Bilk|Michelle|331
4148979|The Beatles|Acker Bilk|Norwegian Wood|331
41922|The Beatles|Acker Bilk|Nowhere Man|331
9106558|The Beatles|Acker Bilk|She's Leaving Home|331
9562942|The Beatles|Acker Bilk|The Fool on the Hill|331
9106678|The Beatles|Acker Bilk|Yesterday|331
7757173|The Beatles|Adam Green|Crying, Waiting, Hoping|110070
10419406|The Rolling Stones|Adam Harvey feat. Shannon Noll|It's All Over Now|987315
14002252|The Beatles|Adam Levine & Jesse Carmichael|Don't Let Me Down|1052679
13564272|The Beatles|Adam Levine & Tony Lucca|Yesterday|982260
14747206|The Beatles|Adam Levine, Blake Shelton, Shakira & Usher|Come Together|1144784
18521215|The Beatles|Adam Rafferty|Eleanor Rigby|1143103
