recordingid|sourceartist|recording_artist|recordname|recartistcredit
18869916|The Rolling Stones|Depeche Mode|"Route 66" (Beatmasters Mix)|317
1454251|The Beatles|The Beatles|'Til There Was You|303
8165114|The Beatles|Cassandra Wilson|'Til There Was You|33634
1532489|The Beatles|Rod Stewart|'Till There Was You|4541
15563136|The Rolling Stones|Chuck Berry|'round and 'round|1710
3524907|The Beatles|Joni James|'til There Was You (from "The Music Man")|4300
2889179|The Rolling Stones|Züri West|(Bitte Baby) Blib no chli bi mir / Lue zersch wohär dass dr Wind wääit / You Can't Always Get What You Want|148091
929116|The Rolling Stones|Bing Crosby|(Get Your Kicks On) Route 66|99
1657197|The Rolling Stones|The Rolling Stones|(Get Your Kicks On) Route 66|825
3401036|The Rolling Stones|Asleep at the Wheel|(Get Your Kicks On) Route 66|3231
758399|The Rolling Stones|Nat King Cole|(Get Your Kicks On) Route 66|14410
1161277|The Rolling Stones|Bing Crosby & The Andrews Sisters|(Get Your Kicks On) Route 66|805701
6452007|The Rolling Stones|Nat King Cole|(Get Your Kicks On) Route 66!|14410
1469748|The Rolling Stones|The Rolling Stones|(Get Your Kicks on) Route 66|825
577976|The Rolling Stones|Nat King Cole|(Get Your Kicks on) Route 66|14410
6869646|The Rolling Stones|The Nat King Cole Trio|(Get Your Kicks on) Route 66|69044
18619138|The Rolling Stones|Bobby Troup|(Get Your Kicks on) Route 66|82952
13430350|The Rolling Stones|Nat King Cole|(Get Your Kicks on) Route 66!|14410
1592625|The Rolling Stones|Nat King Cole|(Get Your Kicks) On Route 66|14410
17590410|The Rolling Stones|Sol Raye|(Get Your Kicks) On Route 66|1451552
10470131|The Rolling Stones|Cat Power|(I Can't Get No) Satisfaction|35
5974631|The Rolling Stones|Bill Cosby|(I Can't Get No) Satisfaction|91
6718106|The Rolling Stones|The Ventures|(I Can't Get No) Satisfaction|343
3024003|The Rolling Stones|Manfred Mann|(I Can't Get No) Satisfaction|820
207158|The Rolling Stones|The Rolling Stones|(I Can't Get No) Satisfaction|825
1082663|The Rolling Stones|Aretha Franklin|(I Can't Get No) Satisfaction|1460
435082|The Rolling Stones|Otis Redding|(I Can't Get No) Satisfaction|1748
12215051|The Rolling Stones|Jerry Lee Lewis|(I Can't Get No) Satisfaction|1803
3362312|The Rolling Stones|Tom Jones|(I Can't Get No) Satisfaction|1818
728974|The Rolling Stones|Samantha Fox|(I Can't Get No) Satisfaction|2795
5987527|The Rolling Stones|Sam & Dave|(I Can't Get No) Satisfaction|6447
7832147|The Rolling Stones|The Troggs|(I Can't Get No) Satisfaction|6472
5326020|The Rolling Stones|The Shadows|(I Can't Get No) Satisfaction|10689
3458091|The Rolling Stones|London Symphony Orchestra|(I Can't Get No) Satisfaction|12299
906586|The Rolling Stones|Four Tops|(I Can't Get No) Satisfaction|12783
7836991|The Rolling Stones|Sandie Shaw|(I Can't Get No) Satisfaction|15963
6693885|The Rolling Stones|Paul Revere and The Raiders|(I Can't Get No) Satisfaction|20293
2467930|The Rolling Stones|Junior Wells|(I Can't Get No) Satisfaction|21001
5149402|The Rolling Stones|Jimmy Smith|(I Can't Get No) Satisfaction|21043
8629904|The Rolling Stones|CCS|(I Can't Get No) Satisfaction|24112
1741589|The Rolling Stones|Chris Farlowe|(I Can't Get No) Satisfaction|24263
1843198|The Rolling Stones|Rolf Harris|(I Can't Get No) Satisfaction|31049
9101920|The Rolling Stones|Quincy Jones|(I Can't Get No) Satisfaction|31747
3205210|The Rolling Stones|Blue Cheer|(I Can't Get No) Satisfaction|32902
