artistid|artist|songname|recordingid|releasename|release_group|date_year|labelname|countryname|workid|rating
303|The Beatles|And Your Bird Can Sing|15243|Revolver|212336|1987|Apple Records|United Kingdom|15243|0
303|The Beatles|And Your Bird Can Sing|15243|Revolver|212336|1987|Apple Records|United States|15243|0
303|The Beatles|And Your Bird Can Sing|15243|Revolver|212336|1987|Capitol Records|United Kingdom|15243|0
303|The Beatles|And Your Bird Can Sing|15243|Revolver|212336|1987|Capitol Records|United States|15243|0
303|The Beatles|And Your Bird Can Sing|15243|Revolver|212336|1987|Parlophone|United Kingdom|15243|0
303|The Beatles|And Your Bird Can Sing|15243|Revolver|212336|1987|Parlophone|United States|15243|0
303|The Beatles|And Your Bird Can Sing|15243|Revolver|212336|1998|東芝EMI 株式会社|United Kingdom|15243|0
303|The Beatles|And Your Bird Can Sing|15243|Revolver|212336|1998|東芝EMI 株式会社|United States|15243|0
303|The Beatles|And Your Bird Can Sing|15243|Revolver|212336|2009|Apple Records|United Kingdom|15243|0
303|The Beatles|And Your Bird Can Sing|15243|Revolver|212336|2009|Apple Records|United States|15243|0
303|The Beatles|And Your Bird Can Sing|15243|Revolver|212336|NULL|Mobile Fidelity Sound Lab|United Kingdom|15243|0
303|The Beatles|And Your Bird Can Sing|15243|Revolver|212336|NULL|Mobile Fidelity Sound Lab|United States|15243|0
303|The Beatles|And Your Bird Can Sing|15243|Revolver|212336|NULL|Parlophone|United Kingdom|15243|0
303|The Beatles|And Your Bird Can Sing|15243|Revolver|212336|NULL|Parlophone|United States|15243|0
303|The Beatles|And Your Bird Can Sing|15243|The U.S. Albums|1340104|2014|Capitol Records|United Kingdom|15243|0
303|The Beatles|And Your Bird Can Sing|15243|The U.S. Albums|1340104|2014|Capitol Records|United States|15243|0
303|The Beatles|Sgt. Pepper’s Lonely Hearts Club Band|155964|Yellow Submarine Songtrack|1212249|1999|Apple Records|United Kingdom|182532|0
303|The Beatles|Sgt. Pepper’s Lonely Hearts Club Band|155964|Yellow Submarine Songtrack|1212249|1999|Apple Records|United States|182532|0
303|The Beatles|Sgt. Pepper’s Lonely Hearts Club Band|155964|Yellow Submarine Songtrack|1212249|1999|Capitol Records|United Kingdom|182532|0
303|The Beatles|Sgt. Pepper’s Lonely Hearts Club Band|155964|Yellow Submarine Songtrack|1212249|1999|Capitol Records|United States|182532|0
303|The Beatles|Sgt. Pepper’s Lonely Hearts Club Band|155964|Yellow Submarine Songtrack|1212249|2012|Apple Records|United Kingdom|182532|0
303|The Beatles|Sgt. Pepper’s Lonely Hearts Club Band|155964|Yellow Submarine Songtrack|1212249|2012|Apple Records|United States|182532|0
303|The Beatles|Back in the U.S.S.R.|159792|1967–1970|17637|1993|Apple Records|United Kingdom|159792|0
303|The Beatles|Back in the U.S.S.R.|159792|1967–1970|17637|1993|Apple Records|United States|159792|0
303|The Beatles|Back in the U.S.S.R.|159792|1967–1970|17637|1993|Capitol Records|United Kingdom|159792|0
303|The Beatles|Back in the U.S.S.R.|159792|1967–1970|17637|1993|Capitol Records|United States|159792|0
303|The Beatles|Back in the U.S.S.R.|159792|1967–1970|17637|1993|EMI Music Canada|United Kingdom|159792|0
303|The Beatles|Back in the U.S.S.R.|159792|1967–1970|17637|1993|EMI Music Canada|United States|159792|0
303|The Beatles|Back in the U.S.S.R.|159792|1967–1970|17637|2010|Apple Records|United Kingdom|159792|0
303|The Beatles|Back in the U.S.S.R.|159792|1967–1970|17637|2010|Apple Records|United States|159792|0
303|The Beatles|Back in the U.S.S.R.|159792|The Beatles|18243|1987|Capitol Records|United Kingdom|159792|0
303|The Beatles|Back in the U.S.S.R.|159792|The Beatles|18243|1987|Capitol Records|United States|159792|0
303|The Beatles|Back in the U.S.S.R.|159792|The Beatles|18243|1987|Parlophone|United Kingdom|159792|0
303|The Beatles|Back in the U.S.S.R.|159792|The Beatles|18243|1987|Parlophone|United States|159792|0
303|The Beatles|Back in the U.S.S.R.|159792|The Beatles|18243|1998|Apple Records|United Kingdom|159792|0
303|The Beatles|Back in the U.S.S.R.|159792|The Beatles|18243|1998|Apple Records|United States|159792|0
303|The Beatles|Back in the U.S.S.R.|159792|The Beatles|18243|2009|Apple Records|United Kingdom|159792|0
303|The Beatles|Back in the U.S.S.R.|159792|The Beatles|18243|2009|Apple Records|United States|159792|0
303|The Beatles|Back in the U.S.S.R.|159792|The Beatles|18243|NULL|Parlophone|United Kingdom|159792|0
303|The Beatles|Back in the U.S.S.R.|159792|The Beatles|18243|NULL|Parlophone|United States|159792|0
303|The Beatles|Back in the U.S.S.R.|159792|The Beatles Box Set|1572813|1988|Apple Records|United Kingdom|159792|0
