recording_id|source_artist|recording_artist|record_name|rec_artist_id|workid|rating
18869916|The Rolling Stones|Depeche Mode|"Route 66" (Beatmasters Mix)|317|1469748|NULL
8165114|The Beatles|Cassandra Wilson|'Til There Was You|33634|286220|NULL
1532489|The Beatles|Rod Stewart|'Till There Was You|4541|286220|NULL
15563136|The Rolling Stones|Chuck Berry|'round and 'round|1710|6302776|NULL
3524907|The Beatles|Joni James|'til There Was You (from "The Music Man")|4300|286220|NULL
2889179|The Rolling Stones|Züri West|(Bitte Baby) Blib no chli bi mir / Lue zersch wohär dass dr Wind wääit / You Can't Always Get What You Want|148091|245459|NULL
929116|The Rolling Stones|Bing Crosby|(Get Your Kicks On) Route 66|99|1469748|NULL
3401036|The Rolling Stones|Asleep at the Wheel|(Get Your Kicks On) Route 66|3231|1469748|NULL
758399|The Rolling Stones|Nat King Cole|(Get Your Kicks On) Route 66|14410|1469748|NULL
1161277|The Rolling Stones|Bing Crosby & The Andrews Sisters|(Get Your Kicks On) Route 66|805701|1469748|NULL
6452007|The Rolling Stones|Nat King Cole|(Get Your Kicks On) Route 66!|14410|1469748|NULL
577976|The Rolling Stones|Nat King Cole|(Get Your Kicks on) Route 66|14410|1469748|NULL
6869646|The Rolling Stones|The Nat King Cole Trio|(Get Your Kicks on) Route 66|69044|1469748|NULL
18619138|The Rolling Stones|Bobby Troup|(Get Your Kicks on) Route 66|82952|1469748|NULL
13430350|The Rolling Stones|Nat King Cole|(Get Your Kicks on) Route 66!|14410|1469748|NULL
1592625|The Rolling Stones|Nat King Cole|(Get Your Kicks) On Route 66|14410|1469748|NULL
17590410|The Rolling Stones|Sol Raye|(Get Your Kicks) On Route 66|1451552|1469748|NULL
10470131|The Rolling Stones|Cat Power|(I Can't Get No) Satisfaction|35|357708|NULL
5974631|The Rolling Stones|Bill Cosby|(I Can't Get No) Satisfaction|91|357708|40
6718106|The Rolling Stones|The Ventures|(I Can't Get No) Satisfaction|343|357708|60
3024003|The Rolling Stones|Manfred Mann|(I Can't Get No) Satisfaction|820|357708|60
3024017|The Rolling Stones|Manfred Mann|(I Can't Get No) Satisfaction|820|357708|NULL
1082663|The Rolling Stones|Aretha Franklin|(I Can't Get No) Satisfaction|1460|357708|80
435082|The Rolling Stones|Otis Redding|(I Can't Get No) Satisfaction|1748|357708|80
4596150|The Rolling Stones|Otis Redding|(I Can't Get No) Satisfaction|1748|357708|NULL
12215051|The Rolling Stones|Jerry Lee Lewis|(I Can't Get No) Satisfaction|1803|357708|NULL
3362312|The Rolling Stones|Tom Jones|(I Can't Get No) Satisfaction|1818|357708|NULL
728974|The Rolling Stones|Samantha Fox|(I Can't Get No) Satisfaction|2795|357708|40
5987527|The Rolling Stones|Sam & Dave|(I Can't Get No) Satisfaction|6447|357708|80
7832147|The Rolling Stones|The Troggs|(I Can't Get No) Satisfaction|6472|357708|60
5326020|The Rolling Stones|The Shadows|(I Can't Get No) Satisfaction|10689|357708|NULL
3458091|The Rolling Stones|London Symphony Orchestra|(I Can't Get No) Satisfaction|12299|357708|NULL
906586|The Rolling Stones|Four Tops|(I Can't Get No) Satisfaction|12783|357708|NULL
7836991|The Rolling Stones|Sandie Shaw|(I Can't Get No) Satisfaction|15963|357708|NULL
6693885|The Rolling Stones|Paul Revere and The Raiders|(I Can't Get No) Satisfaction|20293|357708|NULL
2467930|The Rolling Stones|Junior Wells|(I Can't Get No) Satisfaction|21001|357708|NULL
5149402|The Rolling Stones|Jimmy Smith|(I Can't Get No) Satisfaction|21043|357708|60
8629904|The Rolling Stones|CCS|(I Can't Get No) Satisfaction|24112|357708|NULL
1741589|The Rolling Stones|Chris Farlowe|(I Can't Get No) Satisfaction|24263|357708|40
1843198|The Rolling Stones|Rolf Harris|(I Can't Get No) Satisfaction|31049|357708|NULL
9101920|The Rolling Stones|Quincy Jones|(I Can't Get No) Satisfaction|31747|357708|NULL
3205210|The Rolling Stones|Blue Cheer|(I Can't Get No) Satisfaction|32902|357708|40
12059159|The Rolling Stones|Herbie Mann|(I Can't Get No) Satisfaction|33945|357708|60
9953415|The Rolling Stones|Sandy Nelson|(I Can't Get No) Satisfaction|33960|357708|NULL
11418897|The Rolling Stones|Studio 99|(I Can't Get No) Satisfaction|42563|357708|NULL
4033074|The Rolling Stones|Opium Jukebox|(I Can't Get No) Satisfaction|45044|357708|NULL
6063139|The Rolling Stones|The Strangeloves|(I Can't Get No) Satisfaction|61512|357708|60
9005016|The Rolling Stones|Phyllis Diller|(I Can't Get No) Satisfaction|70411|357708|NULL
6027988|The Rolling Stones|Incredible Bongo Band|(I Can't Get No) Satisfaction|96432|357708|NULL
9915050|The Rolling Stones|Gary McFarland|(I Can't Get No) Satisfaction|130268|357708|NULL
8015365|The Rolling Stones|The Supremes|(I Can't Get No) Satisfaction|137578|357708|NULL
8677437|The Rolling Stones|Dino, Desi and Billy|(I Can't Get No) Satisfaction|137672|357708|NULL
6323946|The Rolling Stones|Monty Alexander Trio|(I Can't Get No) Satisfaction|177705|357708|NULL
9167144|The Rolling Stones|Bill Cunliffe|(I Can't Get No) Satisfaction|193628|357708|NULL
3123154|The Rolling Stones|Los Apson|(I Can't Get No) Satisfaction|199724|357708|NULL
