workid|artist|songname|minreleasedate|num_releases|countries|avg_rating|lyrics|title_sent|lyric_sent|is_cover|artist_cnt|cov_rating_avg|times_covered
3631|The Beatles|Tomorrow Never Knows|1966-08-05|4|3|60|Turn off your mind Relax and float down stream It is not dying It is not dying Lay down all thought Surrender to the void It is shining It is shining That you may see The meaning of within It is being It is being That love is all And love is everyone It is knowing It is knowing That ignorance and hate May mourn the dead It is believing It is believing But listen to the Colour of your dreams It is not living It is not living Or play the game Existence to the end Of the beginning Of the beginning Of the beginning|0.0|-0.101587301587|0|47.0|84.0|50.0
6794|The Beatles|Only a Northern Song|1969-01-13|3|3|0|If you're listening to this song You may think the chords are going wrong But they're not He just wrote it like that When you're listening late at night You may think the band are not quite right But they are They just play it like that It doesn't really matter what chords I play What words I say or time of day it is As it's only a northern song It doesn't really matter what clothes I wear Or how I fare or if my hair is brown When/As it's only a northern song If you think the harmony Is a little dark and out of key You're correct There's nobody there And I told you there's no-one there|0.0|-0.0451785714286|0|2.0|0.0|2.0
6795|The Beatles|All Together Now|1969-01-13|3|3|0|One, two, three, four Can I have a little more? Five, six, seven-eight-nine-ten I love you. A, B, C, D Can I bring my friend to tea? E, F, G-H-I-J I love you. (Bom bom bom bom-ba-bom) Sail the ship (Bom-ba-bom) Chop the tree (Bom-ba-bom) Skip the rope (Bom-ba-bom) Look at me. (All together now) All together now (All together now) All together now (All together now) All together now (All together now) All together now. Black, white, green, red Can I take my friend to bed? Pink, brown, yellow, orange, and blue I love you. (All together now) All together now (All together now) All together now (All together now) All together now (All together now) All together now (All together now) All together now (All together now) All together now (All together now) All together now (All together now) All together now. (Bom bom bom bom-ba-bom) Sail the ship (Bom-ba-bom) Chop the tree (Bom-ba-bom) Skip the rope (help me) (Bom-ba-bom) Look at me. (All together now) All together now (All together now) All together now (All together now) All together now (All together now) All together now (All together now) All together now (All together now) All together now (All together now) All together now (All together now) All together now (All together now) All together now (All together now) All together now (All together now) All together now (All together now) All together now. Whoo!|0.0|0.122569444444|0|7.0|0.0|7.0
6796|The Beatles|Hey Bulldog|1969-01-13|3|3|0|"Sheepdog standing in the rain Bullfrog doing it again Some kind of happiness is measured out in miles What makes you think you're something special when you smile? Childlike, no one understands Jack-knife in your sweaty hands Some kind of innocence is measured out in years You don't know what it's like to listen to your fears You can talk to me You can talk to me You can talk to me If you're lonely, you can talk to me Big man (yeah?) walking in the park Wigwam frightened of the dark Some kind of solitude is measured out in you You think you know me, but you haven't got a clue You can talk to me You can talk to me You can talk to me If you're lonely, you can talk to me Hey! Hey, bulldog Hey, bulldog Hey, bulldog Hey, bulldog Spoken: Paul: Hey, man. John: What's that, boy? Paul: Ruff! John: What do you say? Paul: I say, ""Woof!"" John: Do you know any more? Paul: Awooo arf! John: Ah-ha-ha! Paul: You've got it! That's it! You've got it! That's it, man! Whoo! That's it, you've got it! John: [Screams hysterically] Paul: Don't look at me, man, I only have ten children. Hoo! John: Ah-ho!  Ha-ha-ha aarrh ha-ha-ha! Paul: Quiet, boy, quiet! John: Okay. Paul: Quiet! Hey, bulldog Hey, bulldog..."|0.0|0.129570018797|0|17.0|40.0|17.0
6797|The Beatles|It's All Too Much|1969-01-13|3|3|0|Spoken: To your mother! It's all too much It's all too much When I look into your eyes Your love is there for me And the more I go inside The more there is to see It's all too much for me to take The love that's shining all around you Everywhere it's what you make for us to take It's all too much Floating down the stream of time From life to life with me Makes no difference where you are Or where you'd like to be It's all too much for me to take The love that's shining all around here All the world is birthday cake So take a piece but not too much Sell me on a silver sun Where I know that I'm free Show me that I'm everywhere And get me home for tea It's all too much for me to take There's plenty there for everybody The more you give, the more you get The more it is and it's too much Nice to have the time to take This opportunity Time for me to look at you And you to look at me It's all too much for me to see The love that's shining all around here The more I learn, the less I know And what I do is all too much It's all too much for me to take The love that's shining all around you Everywhere it's what you make for us to take It's all too much It's too much It's too much With your long blonde hair and your eyes of blue With your long blonde hair and your eyes of blue You're too much We are getting better Too much, too much Too much, too much Too much, too much Too much, too much Too much, too much Too much, too much Too much, too much Too much, too much Too much, too much Too much, too much Too much, too much Too much, too much Too much Too much, too much Too much, too much Too much, too much Too much, too much Too much, too much Too much, too much Too much, too much Too much, too much Too much, too much Too much, too much Too much, too much Too much, too much Too much, too much Too much, too|0.2|0.224747474747|0|14.0|0.0|14.0
6798|The Beatles|All You Need Is Love|1967-11-27|10|7|0|Love, love, love Love, love, love Love, love, love (Lo-o-ove) There's nothing you can do that can't be done (Lo-o-ove) Nothing you can sing that can't be sung (Lo-o-ove) Nothing you can say, but you can learn how to play the game It's easy (Lo-o-ove) Nothing you can make that can't be made (Lo-o-ove) No-one you can save that can't be saved (Lo-o-ove) Nothing you can do, but you can learn how to be you in time It's easy All you need is love All you need is love All you need is love, love Love is all you need Lo-ove, love Love, love, love Love, love, love All you need is love (Whoo) All you need is love (Hey) All you need is love, love Love is all you need (Lo-o-ove) Nothing you can know that isn't known (Lo-o-ove) Nothing you can see that isn't shown (Lo-o-ove) There's nowhere you can be that isn't where you're meant to be It's easy All you need is love All you need is love All you need is love, love Love is all you need All you need is love (All together now!) All you need is love (Everybody!) All you need is love, love Love is all you need Love is all you need (Love is all you need) Love is all you need (Love is all you need) Love is all you need (Love is all you need) Love is all you need (Love is all you need) Love is all you need (Love is all you need) Love is all you need (Love is all you need) Love is all you need (Love is all you need) Love is all you need (Love is all you need) Love is all you need (Love is all you need) Love is all you need (Love is all you need) Love is all you need (Yahoo!) (Love is all you need) Ye-hey! (Love is all) you need Love is all you need (Love is all you need) Yesterday (Love is all you need) Whoa Love is all you need Love is all you need Oh, yeah! Love is all you need Loves you, yeah, yeah, yeah (Love is all you need) (Love is all you need) She loves you, yeah, yeah, yeah (Love is all you need) (Love is all you need) (Love is all you need) Love is all you need (Love is) all you need (Love is all you need) Love is all you need Love is all you need (Love is all you need) I love it, would've done it in a heartbeat Oh!|0.5|0.495679012346|0|62.0|76.6666666667|72.0
15243|The Beatles|And Your Bird Can Sing|1966-08-05|3|2|80|Tell me that you've got everything you want And your bird can sing But you don't get me You don't get me You say you've seen seven wonders And your bird is green But you can't see me You can't see me When your prized possessions Start to weigh you down Look in my direction I'll be 'round I'll be 'round When your bird is broken Will it bring you down? You may be awoken I'll be 'round I'll be 'round You tell me that you heard every sound there is And your bird can swing But you can't hear me You can't hear me|0.0|-0.145679012346|0|9.0|80.0|12.0
15246|The Beatles|Doctor Robert|1966-08-05|2|2|80|Ring my friend I said you'd call Doctor Robert Day or night, he'll be there any time at all Doctor Robert Doctor Robert You're a new and better man He helps you to understand He does everything he can Doctor Robert If you're down, he'll pick you up Doctor Robert Take a drink from his special cup Doctor Robert Doctor Robert He's a man you must believe Helping anyone in need No one can succeed Like Doctor Robert Well, well, well You're feeling fine Well, well, well He'll make you Doctor Robert My friend works for the National Health Doctor Robert Don't pay money just to see yourself With Doctor Robert Doctor Robert You're a new and better man He helps you to understand He does everything he can Doc Robert Well, well, well You're feeling fine Well, well, well He'll make you Doctor Robert Ring my friend I said you'd call Doctor Robert Ring my friend I said you'd call Doc Robert Doctor Robert|0.0|0.288455988456|0|3.0|0.0|3.0
15249|The Beatles|For No One|1966-08-05|3|2|80|Your day breaks Your mind aches You find that all her words Of kindness linger on When she no longer needs you She wakes up She makes up She takes her time And doesn't feel she has to hurry She no longer needs you And in her eyes you see nothing No sign of love behind the tears Cried for no one A love that should have lasted years You want her You need her And yet you don't believe her When she says her love is dead You think she needs you And in her eyes you see nothing No sign of love behind the tears Cried for no one A love that should have lasted years You stay home She goes out She says that long ago She knew someone But now he's gone She doesn't need him Your day breaks Your mind aches There will be times When all the things she said Will fill your head You won't forget her And in her eyes you see nothing No sign of love behind the tears Cried for no one A love that should have lasted years|0.0|0.170833333333|0|35.0|60.0|36.0
15250|The Beatles|Got to Get You Into My Life|1966-08-05|3|2|80|I was alone, I took a ride I didn't know what I would find there Another road where maybe I Could see another kind of mind there Ooh, then I suddenly see you Ooh, did I tell you I need you Every single day of my life? You didn't run, you didn't lie You know I wanted just to hold you And had you gone, you knew in time We'd meet again, for I had told you Ooh, you were meant to be near me Ooh, and I want you to hear me Say we'll be together every day Got to get you into my life Somehow, someway What can I do? What can I be? When I'm with you I wanna stay there If I'm true, I'll never leave And if I do I know the way there Ooh, then I suddenly see you Ooh, did I tell you I need you Every single day of my life? Got to get you into my life I've got to get you into my life I was alone, I took a ride I didn't know what I would find there Another road where maybe I Could see another kind of mind there And then I suddenly see you Did I tell you I need you Every single day?|0.0|0.143571428571|0|43.0|51.4285714286|45.0
15255|The Beatles|Taxman|1966-08-05|4|2|0|One, two, three, four (for you, nineteen for me) One, two (one, two, three, four) Let me tell you how it will be There's one for you, nineteen for me 'Cause I'm the taxman Yeah, I'm the taxman Should five per cent appear too small Be thankful I don't take it all 'Cause I'm the taxman Yeah, I'm the taxman (If you drive a car, car) I'll tax the street (If you try to sit, sit) I'll tax your seat (If you get too cold, cold) I'll tax the heat (If you take a walk, walk) I'll tax your feet Taxman 'Cause I'm the taxman Yeah, I'm the taxman Don't ask me what I want it for (Ha, ha, Mr. Wilson) If you don't want to pay some more (Ha, ha, Mr. Heath) 'Cause I'm the taxman Yeah, I'm the taxman Now my advice for those who die (Taxman) Declare the pennies on your eyes (Taxman) 'Cause I'm the taxman Yeah, I'm the taxman And you're working for no one but me (Taxman)|0.0|-0.2375|0|25.0|0.0|26.0
15257|The Beatles|Yellow Submarine|1966-08-05|10|6|0|In the town where I was born Lived a man who sailed to sea And he told us of his life In the land of submarines So we sailed on to the sun Till we found a sea of green And we lived beneath the waves In our yellow submarine We all live in a yellow submarine Yellow submarine, yellow submarine We all live in a yellow submarine Yellow submarine, yellow submarine And our friends are all aboard Many more of them live next door And the band begins to play We all live in a yellow submarine Yellow submarine, yellow submarine We all live in a yellow submarine Yellow submarine, yellow submarine Full steam ahead, Mr. Boatswain, full steam ahead Full steam ahead it is, Sergeant Cut the cable! Drop the cable! Aye-aye, sir, aye-aye Captain, captain As we live a life of ease Every one of us (every one of us) has all we need (has all we need) Sky of blue (sky of blue) and sea of green (sea of green) In our yellow (in our yellow) submarine (submarine, ha-ha!) We all live in a yellow submarine A yellow submarine, yellow submarine We all live in a yellow submarine A yellow submarine, yellow submarine We all live in a yellow submarine Yellow submarine, yellow submarine We all live in a yellow submarine Yellow submarine, yellow submarine|0.0|0.0627189867424|0|42.0|0.0|43.0
109077|The Rolling Stones|Miss You|1978-06-09|23|6|0|"I've been holding out so long I've been sleeping all alone Lord I miss you I've been hanging on the phone I've been sleeping all alone I want to kiss you Oooh oooh oooh oooh Oooh oooh oooh oooh Oooh oooh oooh Oooh oooh oooh oooh Oooh oooh oooh oooh Oooh oooh oooh Well, I've been haunted in my sleep You've been starring in my dreams Lord I miss you, tonight I've been waiting in the hall Been waiting on your call When the phone rings It's just a friend of mine that say ""Hey, what's the matter, man? We're gonna come around at twelve With some Puerto Rican girls that are just dyin' to meet you We're gonna bring a case of wine Hey, let's go mess and fool around You know, like we used to"" Aaah aaah aaah aaah Aaah aaah aaah aaah Aaah aaah aaah Aaah aaah aaah aaah Aaah aaah aaah aaah Aaah aaah aaah Ooh baby why you wait so long Oh baby why you wait so long Won't you come home, come home I've been walking in Central Park Singing after dark People think I'm crazy Stumbling on my feet Shuffling through the street Asking people, ""What's the matter with you, boy?"" Sometimes I want to say to, to myself Sometimes I say Oooh oooh oooh oooh Oooh oooh oooh oooh Oooh oooh oooh I guess I'm lying to myself It's just you and no one else Lord I won't miss you child Aaah aaah aaah aaah Aaah aaah aaah aaah Aaah aaah aaah Aaah aaah aaah aaah Aaah aaah aaah aaah Aaah aaah aaah Lord, I miss you child Aaah aaah aaah aaah Aaah aaah aaah aaah Aaah aaah aaah Yes, baby"|0.0|-0.153571428571|0|22.0|66.6666666667|22.0
