artistid|artist|songname|releasename|workid|recordingid|release_group|releasedate|label_cnt|country_cnt|rating
303|The Beatles|A Taste of Honey|1962 Live Recordings|295302|4732310|420949|1962-01-01|1|1|0
303|The Beatles|Ask Me Why|1962 Live Recordings|295296|4732323|420949|1962-01-01|1|1|0
303|The Beatles|Be-Bop-A-Lula|1962 Live Recordings|8387505|4732321|420949|1962-01-01|1|1|0
303|The Beatles|Everybody’s Trying to Be My Baby|1962 Live Recordings|368508|4732314|420949|1962-01-01|1|1|0
303|The Beatles|Falling in Love Again (Can’t Help It)|1962 Live Recordings|2374813|4732319|420949|1962-01-01|1|1|0
303|The Beatles|Hallelujah, I Love Her So|1962 Live Recordings|2648186|4732322|420949|1962-01-01|1|1|0
303|The Beatles|Hippy Hippy Shake|1962 Live Recordings|6569228|4732303|420949|1962-01-01|1|1|0
303|The Beatles|I Remember You|1962 Live Recordings|506842|4732329|420949|1962-01-01|1|1|0
303|The Beatles|I Saw Her Standing There|1962 Live Recordings|295291|4732300|420949|1962-01-01|1|1|0
303|The Beatles|I Wish I Could Shimmy Like My Sister Kate|1962 Live Recordings|12516025|4732327|420949|1962-01-01|1|1|0
303|The Beatles|I’m Gonna Sit Right Down and Cry (Over You)|1962 Live Recordings|737424|4732301|420949|1962-01-01|1|1|0
303|The Beatles|I’m Talking About You|1962 Live Recordings|8034555|4732326|420949|1962-01-01|1|1|0
303|The Beatles|Lend Me Your Comb|1962 Live Recordings|12523637|4732305|420949|1962-01-01|1|1|0
303|The Beatles|Little Queenie|1962 Live Recordings|6007740|4732318|420949|1962-01-01|1|1|0
303|The Beatles|Long Tall Sally|1962 Live Recordings|9026995|4732328|420949|1962-01-01|1|1|0
303|The Beatles|Matchbox|1962 Live Recordings|12446929|4732325|420949|1962-01-01|1|1|0
303|The Beatles|Red Sails in the Sunset|1962 Live Recordings|2954920|4732324|420949|1962-01-01|1|1|0
303|The Beatles|Roll Over Beethoven|1962 Live Recordings|8322242|4732302|420949|1962-01-01|2|2|0
303|The Beatles|Sweet Little Sixteen|1962 Live Recordings|6007733|4732304|420949|1962-01-01|1|1|0
303|The Beatles|Till There Was You|1962 Live Recordings|286220|4732313|420949|1962-01-01|1|1|0
303|The Beatles|Twist and Shout|1962 Live Recordings|7426353|4732308|420949|1962-01-01|2|2|0
303|The Beatles|A Hard Day’s Night|Best Of the Beatles|6253455|16359607|1392597|1962-01-01|1|1|0
303|The Beatles|All My Loving|Best Of the Beatles|2261384|14506508|1392597|1962-01-01|1|1|0
303|The Beatles|Do You Want to Know a Secret|Best Of the Beatles|295301|295301|1392597|1962-01-01|1|1|0
303|The Beatles|Eight Days a Week|Best Of the Beatles|368502|6385770|1392597|1962-01-01|1|1|0
303|The Beatles|I’ll Follow the Sun|Best Of the Beatles|368499|3527048|1392597|1962-01-01|1|1|0
303|The Beatles|Misery|Best Of the Beatles|295292|295292|1392597|1962-01-01|1|1|0
303|The Beatles|No Reply|Best Of the Beatles|368495|2710474|1392597|1962-01-01|1|1|0
303|The Beatles|Roll Over Beethoven|Best Of the Beatles|8322242|16359627|1392597|1962-01-01|1|1|0
303|The Beatles|Twist and Shout|Best Of the Beatles|7426353|16359609|1392597|1962-01-01|1|1|0
303|The Beatles|Roll Over Beethoven|Live! at the Star-Club In Hamburg, Germany; 1962|8322242|15799440|381072|1962-01-01|1|1|0
303|The Beatles|Twist and Shout|Perfect Collection, Volume 1: 1962-1963|7426353|8652350|775296|1962-01-01|1|1|0
303|The Beatles|All My Loving|Perfect Collection, Volume 2: 1963|2261384|8652377|775296|1962-01-01|1|1|0
303|The Beatles|Roll Over Beethoven|Perfect Collection, Volume 2: 1963|8322242|8652382|775296|1962-01-01|1|1|0
303|The Beatles|A Hard Day’s Night|Perfect Collection, Volume 3: 1963-1964|6253455|8652396|775296|1962-01-01|1|1|0
303|The Beatles|I’m Down|Perfect Collection, Volume 5: 1964-1965|6267352|3688404|775296|1962-01-01|1|1|0
303|The Beatles|You Like Me Too Much|Perfect Collection, Volume 5: 1964-1965|674760|8652432|775296|1962-01-01|1|1|0
303|The Beatles|You’re Going to Lose That Girl|Perfect Collection, Volume 5: 1964-1965|674756|8652429|775296|1962-01-01|1|1|0
303|The Beatles|You’ve Got to Hide Your Love Away|Perfect Collection, Volume 5: 1964-1965|674753|8652426|775296|1962-01-01|1|1|0
303|The Beatles|I Want to Tell You|Perfect Collection, Volume 7: 1966|292251|8652821|775296|1962-01-01|1|1|0
303|The Beatles|Taxman|Perfect Collection, Volume 7: 1966|15255|2238967|775296|1962-01-01|1|1|0
303|The Beatles|A Day in the Life|Perfect Collection, Volume 8: 1967|8018704|8652839|775296|1962-01-01|1|1|0
303|The Beatles|Getting Better|Perfect Collection, Volume 8: 1967|755068|8652830|775296|1962-01-01|1|1|0
303|The Beatles|Strawberry Fields Forever|Perfect Collection, Volume 8: 1967|3440097|8652826|775296|1962-01-01|1|1|0
303|The Beatles|With a Little Help From My Friends|Perfect Collection, Volume 8: 1967|6372993|6393548|775296|1962-01-01|1|1|0
303|The Beatles|All You Need Is Love|Perfect Collection, Volume 9: 1967 & Others|6798|8652840|775296|1962-01-01|1|1|0
303|The Beatles|Your Mother Should Know|Perfect Collection, Volume 9: 1967 & Others|198594|8652848|775296|1962-01-01|1|1|60
303|The Beatles|A Taste of Honey|Reeperbahn - The Early Beatles|295302|1312916|1493925|1962-01-01|1|1|0
303|The Beatles|I Wish I Could Shimmy Like My Sister Kate|Reeperbahn - The Early Beatles|12516025|1312931|1493925|1962-01-01|1|1|0
303|The Beatles|Roll Over Beethoven|Reeperbahn - The Early Beatles|8322242|15669204|1493925|1962-01-01|1|1|0
303|The Beatles|Ask Me Why|Rockin' at the Star-Club|295296|2205075|209520|1962-01-01|1|1|0
303|The Beatles|Be-Bop-A-Lula|Rockin' at the Star-Club|8387505|2205078|209520|1962-01-01|1|1|0
303|The Beatles|Everybody’s Trying to Be My Baby|Rockin' at the Star-Club|368508|2205070|209520|1962-01-01|1|1|0
