artist	trackid	trackname	recordingid	releasename	release_group	date_year	labelname	countryname	id	name
The Beatles	10946270	From Me to You	177449	The Beatles’ Hits	315837	1963	Parlophone	United Kingdom	177449	From Me to You
The Beatles	10946270	From Me to You	177449	The Beatles’ Hits	315837	1963	Parlophone	United States	177449	From Me to You
The Beatles	10946272	Please Please Me	295297	The Beatles’ Hits	315837	1963	Parlophone	United Kingdom	295297	Please Please Me
The Beatles	10946272	Please Please Me	295297	The Beatles’ Hits	315837	1963	Parlophone	United States	295297	Please Please Me
The Beatles	10946273	Love Me Do	14523231	The Beatles’ Hits	315837	1963	Parlophone	United Kingdom	295298	Love Me Do
The Beatles	10946273	Love Me Do	14523231	The Beatles’ Hits	315837	1963	Parlophone	United States	295298	Love Me Do
The Beatles	7053471	Twist and Shout	14523237	Twist and Shout	564243	1963	Parlophone	United Kingdom	7426353	Twist and Shout
The Beatles	7053471	Twist and Shout	14523237	Twist and Shout	564243	1963	Parlophone	United States	7426353	Twist and Shout
The Beatles	7053472	A Taste of Honey	8361086	Twist and Shout	564243	1963	Parlophone	United Kingdom	295302	A Taste of Honey
The Beatles	7053472	A Taste of Honey	8361086	Twist and Shout	564243	1963	Parlophone	United States	295302	A Taste of Honey
The Rolling Stones	11737321	I Wanna Be Your Man	246821	I Wanna Be Your Man / Stoned	500043	1963	Decca Records	United Kingdom	286225	I Wanna Be Your Man
The Rolling Stones	11737321	I Wanna Be Your Man	246821	I Wanna Be Your Man / Stoned	500043	1963	Decca Records	United States	286225	I Wanna Be Your Man
The Rolling Stones	7827869	Fortune Teller	9191493	Poison Ivy / Fortune Teller	823824	1963	Decca Records	United Kingdom	7286488	Fortune Teller
The Rolling Stones	7827869	Fortune Teller	9191493	Poison Ivy / Fortune Teller	823824	1963	Decca Records	United States	7286488	Fortune Teller
The Beatles	10958910	A Hard Day’s Night	14523309	A Hard Day’s Night: Original Motion Picture Sound Track	299487	1964	United Artists	United Kingdom	6253455	A Hard Day’s Night
The Beatles	10958910	A Hard Day’s Night	14523309	A Hard Day’s Night: Original Motion Picture Sound Track	299487	1964	United Artists	United States	6253455	A Hard Day’s Night
The Beatles	10958912	I’ll Cry Instead	6186932	A Hard Day’s Night: Original Motion Picture Sound Track	299487	1964	United Artists	United Kingdom	6186932	I’ll Cry Instead
The Beatles	10958912	I’ll Cry Instead	6186932	A Hard Day’s Night: Original Motion Picture Sound Track	299487	1964	United Artists	United States	6186932	I’ll Cry Instead
The Beatles	10958916	I Should Have Known Better	14523310	A Hard Day’s Night: Original Motion Picture Sound Track	299487	1964	United Artists	United Kingdom	194150	I Should Have Known Better
The Beatles	10958916	I Should Have Known Better	14523310	A Hard Day’s Night: Original Motion Picture Sound Track	299487	1964	United Artists	United States	194150	I Should Have Known Better
The Beatles	10958918	And I Love Her	15746946	A Hard Day’s Night: Original Motion Picture Sound Track	299487	1964	United Artists	United Kingdom	8954068	And I Love Her
The Beatles	10958918	And I Love Her	15746946	A Hard Day’s Night: Original Motion Picture Sound Track	299487	1964	United Artists	United States	8954068	And I Love Her
The Beatles	10958920	Can’t Buy Me Love	14523315	A Hard Day’s Night: Original Motion Picture Sound Track	299487	1964	United Artists	United Kingdom	1141092	Can’t Buy Me Love
The Beatles	10958920	Can’t Buy Me Love	14523315	A Hard Day’s Night: Original Motion Picture Sound Track	299487	1964	United Artists	United States	1141092	Can’t Buy Me Love
The Beatles	5226402	And I Love Her	15746946	And I Love Her	564985	1964	Capitol Records	United Kingdom	8954068	And I Love Her
The Beatles	5226402	And I Love Her	15746946	And I Love Her	564985	1964	Capitol Records	United States	8954068	And I Love Her
The Beatles	5233408	Love Me Do	14550202	Love Me Do / I Saw Her Standing There	564256	1964	Parlophone	United Kingdom	295298	Love Me Do
The Beatles	5233408	Love Me Do	14550202	Love Me Do / I Saw Her Standing There	564256	1964	Parlophone	United States	295298	Love Me Do
The Beatles	5233409	I Saw Her Standing There	6393662	Love Me Do / I Saw Her Standing There	564256	1964	Parlophone	United Kingdom	295291	I Saw Her Standing There
The Beatles	5233409	I Saw Her Standing There	6393662	Love Me Do / I Saw Her Standing There	564256	1964	Parlophone	United States	295291	I Saw Her Standing There
The Beatles	5226409	Matchbox	14214067	Matchbox	564987	1964	Capitol Records	United Kingdom	6186937	Matchbox
The Beatles	5226409	Matchbox	14214067	Matchbox	564987	1964	Capitol Records	United States	6186937	Matchbox
The Beatles	5226410	Slow Down	14214066	Matchbox	564987	1964	Capitol Records	United Kingdom	6186936	Slow Down
The Beatles	5226410	Slow Down	14214066	Matchbox	564987	1964	Capitol Records	United States	6186936	Slow Down
The Beatles	5252309	Misery	6414274	Souvenir of Their Visit to America	567583	1964	Vee-Jay Records	United Kingdom	295292	Misery
The Beatles	5252309	Misery	6414274	Souvenir of Their Visit to America	567583	1964	Vee-Jay Records	United States	295292	Misery
The Beatles	5252310	A Taste of Honey	6414275	Souvenir of Their Visit to America	567583	1964	Vee-Jay Records	United Kingdom	295302	A Taste of Honey
The Beatles	5252310	A Taste of Honey	6414275	Souvenir of Their Visit to America	567583	1964	Vee-Jay Records	United States	295302	A Taste of Honey
The Beatles	5252311	Ask Me Why	6414276	Souvenir of Their Visit to America	567583	1964	Vee-Jay Records	United Kingdom	295296	Ask Me Why
The Beatles	5252311	Ask Me Why	6414276	Souvenir of Their Visit to America	567583	1964	Vee-Jay Records	United States	295296	Ask Me Why
The Beatles	5252312	Anna (Go to Him)	6414277	Souvenir of Their Visit to America	567583	1964	Vee-Jay Records	United Kingdom	8285324	Anna (Go to Him)
The Beatles	5252312	Anna (Go to Him)	6414277	Souvenir of Their Visit to America	567583	1964	Vee-Jay Records	United States	8285324	Anna (Go to Him)
The Beatles	5219241	Twist and Shout	14523237	Twist and Shout	564243	1964	Capitol Records	United Kingdom	7426353	Twist and Shout
The Beatles	5219241	Twist and Shout	14523237	Twist and Shout	564243	1964	Capitol Records	United States	7426353	Twist and Shout
The Beatles	5219242	There’s a Place	14523236	Twist and Shout	564243	1964	Capitol Records	United Kingdom	295303	There’s a Place
The Beatles	5219242	There’s a Place	14523236	Twist and Shout	564243	1964	Capitol Records	United States	295303	There’s a Place
The Rolling Stones	1042720	Around and Around	1219245	12 × 5	128540	1964	London Records	United Kingdom	6302776	Around and Around
The Rolling Stones	1042720	Around and Around	1219245	12 × 5	128540	1964	London Records	United States	6302776	Around and Around
The Rolling Stones	1042723	Time Is on My Side	246829	12 × 5	128540	1964	London Records	United Kingdom	4378180	Time Is on My Side
The Rolling Stones	1042723	Time Is on My Side	246829	12 × 5	128540	1964	London Records	United States	4378180	Time Is on My Side
The Rolling Stones	1042725	It's All Over Now	246825	12 × 5	128540	1964	London Records	United Kingdom	8462689	It’s All Over Now
The Rolling Stones	1042725	It's All Over Now	246825	12 × 5	128540	1964	London Records	United States	8462689	It’s All Over Now
The Rolling Stones	1042727	Under the Boardwalk	1003710	12 × 5	128540	1964	London Records	United Kingdom	6345419	Under the Boardwalk
The Rolling Stones	1042727	Under the Boardwalk	1003710	12 × 5	128540	1964	London Records	United States	6345419	Under the Boardwalk
The Rolling Stones	1042731	Susie Q	1219256	12 × 5	128540	1964	London Records	United Kingdom	8270753	Susie Q
The Rolling Stones	1042731	Susie Q	1219256	12 × 5	128540	1964	London Records	United States	8270753	Susie Q
The Rolling Stones	12224715	(Get Your Kicks on) Route 66	1469748	The Rolling Stones	149256	1964	Decca Records	United Kingdom	1469748	(Get Your Kicks on) Route 66
The Rolling Stones	12224715	(Get Your Kicks on) Route 66	1469748	The Rolling Stones	149256	1964	Decca Records	United States	1469748	(Get Your Kicks on) Route 66
The Rolling Stones	12224716	I Just Wanna Make Love to You	1469749	The Rolling Stones	149256	1964	Decca Records	United Kingdom	1469749	I Just Wanna Make Love to You
The Rolling Stones	12224716	I Just Wanna Make Love to You	1469749	The Rolling Stones	149256	1964	Decca Records	United States	1469749	I Just Wanna Make Love to You
The Rolling Stones	12224717	Honest I Do	281474	The Rolling Stones	149256	1964	Decca Records	United Kingdom	1469750	Honest I Do
The Rolling Stones	12224717	Honest I Do	281474	The Rolling Stones	149256	1964	Decca Records	United States	1469750	Honest I Do
The Rolling Stones	12224718	Mona (I Need You Baby)	386014	The Rolling Stones	149256	1964	Decca Records	United Kingdom	1469751	Mona
The Rolling Stones	12224718	Mona (I Need You Baby)	386014	The Rolling Stones	149256	1964	Decca Records	United States	1469751	Mona
The Rolling Stones	12224721	I’m a King Bee	281477	The Rolling Stones	149256	1964	Decca Records	United Kingdom	1469754	I'm a King Bee
The Rolling Stones	12224721	I’m a King Bee	281477	The Rolling Stones	149256	1964	Decca Records	United States	1469754	I'm a King Bee
The Rolling Stones	12224722	Carol	281478	The Rolling Stones	149256	1964	Decca Records	United Kingdom	10188469	Carol
The Rolling Stones	12224722	Carol	281478	The Rolling Stones	149256	1964	Decca Records	United States	10188469	Carol
The Rolling Stones	12224723	Tell Me (You’re Coming Back)	1469756	The Rolling Stones	149256	1964	Decca Records	United Kingdom	1469756	Tell Me (You’re Coming Back)
The Rolling Stones	12224723	Tell Me (You’re Coming Back)	1469756	The Rolling Stones	149256	1964	Decca Records	United States	1469756	Tell Me (You’re Coming Back)
The Rolling Stones	12224724	Can I Get a Witness	281480	The Rolling Stones	149256	1964	Decca Records	United Kingdom	1469757	Can I Get a Witness
The Rolling Stones	12224724	Can I Get a Witness	281480	The Rolling Stones	149256	1964	Decca Records	United States	1469757	Can I Get a Witness
The Rolling Stones	12224725	You Can Make It If You Try	1469758	The Rolling Stones	149256	1964	Decca Records	United Kingdom	1469758	You Can Make It If You Try
The Rolling Stones	12224725	You Can Make It If You Try	1469758	The Rolling Stones	149256	1964	Decca Records	United States	1469758	You Can Make It If You Try
The Rolling Stones	12224726	Walking the Dog	281482	The Rolling Stones	149256	1964	Decca Records	United Kingdom	9108219	Walking the Dog
The Rolling Stones	12224726	Walking the Dog	281482	The Rolling Stones	149256	1964	Decca Records	United States	9108219	Walking the Dog
The Beatles	5226822	Boys	5690719	Boys	565017	1965	Capitol Records	United Kingdom	8485105	Boys
The Beatles	5226822	Boys	5690719	Boys	565017	1965	Capitol Records	United States	8485105	Boys
The Beatles	5226823	Kansas City / Hey Hey Hey Hey!	14523244	Boys	565017	1965	Capitol Records	United Kingdom	8055018	Kansas City
The Beatles	5226823	Kansas City / Hey Hey Hey Hey!	14523244	Boys	565017	1965	Capitol Records	United Kingdom	8460334	Hey-Hey-Hey-Hey! (Going Back to Birmingham)
The Beatles	5226823	Kansas City / Hey Hey Hey Hey!	14523244	Boys	565017	1965	Capitol Records	United States	8055018	Kansas City
The Beatles	5226823	Kansas City / Hey Hey Hey Hey!	14523244	Boys	565017	1965	Capitol Records	United States	8460334	Hey-Hey-Hey-Hey! (Going Back to Birmingham)
The Beatles	10976152	Help!	14523252	Help!	554683	1965	Parlophone	United Kingdom	6267351	Help!
The Beatles	10976152	Help!	14523252	Help!	554683	1965	Parlophone	United States	6267351	Help!
The Beatles	10976153	I’m Down	14214071	Help!	554683	1965	Parlophone	United Kingdom	6267352	I’m Down
The Beatles	10976153	I’m Down	14214071	Help!	554683	1965	Parlophone	United States	6267352	I’m Down
The Beatles	10989777	We Can Work It Out	5682217	We Can Work It Out / Day Tripper	502750	1965	Parlophone	United Kingdom	5682217	We Can Work It Out
The Beatles	10989777	We Can Work It Out	5682217	We Can Work It Out / Day Tripper	502750	1965	Parlophone	United States	5682217	We Can Work It Out
The Beatles	10989778	Day Tripper	6178082	We Can Work It Out / Day Tripper	502750	1965	Parlophone	United Kingdom	6616974	Day Tripper
The Beatles	10989778	Day Tripper	6178082	We Can Work It Out / Day Tripper	502750	1965	Parlophone	United States	6616974	Day Tripper
The Rolling Stones	4575841	Everybody Needs Somebody to Love	5652339	Got Live If You Want It!	500056	1965	Decca Records	United Kingdom	6954128	Everybody Needs Somebody to Love
The Rolling Stones	4575841	Everybody Needs Somebody to Love	5652339	Got Live If You Want It!	500056	1965	Decca Records	United States	6954128	Everybody Needs Somebody to Love
The Beatles	5870706	She Loves You	10506875	And Now: The Beatles	628866	1966	Odeon	United Kingdom	5682002	She Loves You
The Beatles	5870706	She Loves You	10506875	And Now: The Beatles	628866	1966	Odeon	United States	5682002	She Loves You
The Beatles	5870714	Roll Over Beethoven	286222	And Now: The Beatles	628866	1966	Odeon	United Kingdom	8322242	Roll Over Beethoven
The Beatles	5870714	Roll Over Beethoven	286222	And Now: The Beatles	628866	1966	Odeon	United States	8322242	Roll Over Beethoven
The Beatles	5239026	Norwegian Wood (This Bird Has Flown)	11612198	Nowhere Man	565019	1966	Parlophone	United Kingdom	249994	Norwegian Wood (This Bird Has Flown)
The Beatles	5239026	Norwegian Wood (This Bird Has Flown)	11612198	Nowhere Man	565019	1966	Parlophone	United States	249994	Norwegian Wood (This Bird Has Flown)
The Beatles	10994247	Nowhere Man	410946	Nowhere Man	315876	1966	Parlophone	United Kingdom	249996	Nowhere Man
The Beatles	10994247	Nowhere Man	410946	Nowhere Man	315876	1966	Parlophone	United States	249996	Nowhere Man
The Beatles	10994248	Drive My Car	11959905	Nowhere Man	315876	1966	Parlophone	United Kingdom	613806	Drive My Car
The Beatles	10994248	Drive My Car	11959905	Nowhere Man	315876	1966	Parlophone	United States	613806	Drive My Car
The Beatles	10994249	Michelle	804645	Nowhere Man	315876	1966	Parlophone	United Kingdom	7524001	Michelle
The Beatles	10994249	Michelle	804645	Nowhere Man	315876	1966	Parlophone	United States	7524001	Michelle
The Beatles	2907619	Yesterday	674763	Yesterday	315874	1966	Parlophone	United Kingdom	674763	Yesterday
The Beatles	2907619	Yesterday	674763	Yesterday	315874	1966	Parlophone	United States	674763	Yesterday
The Beatles	2907620	Act Naturally	14523259	Yesterday	315874	1966	Parlophone	United Kingdom	674758	Act Naturally
The Beatles	2907620	Act Naturally	14523259	Yesterday	315874	1966	Parlophone	United States	674758	Act Naturally
The Beatles	2907621	You Like Me Too Much	14523261	Yesterday	315874	1966	Parlophone	United Kingdom	674760	You Like Me Too Much
The Beatles	2907621	You Like Me Too Much	14523261	Yesterday	315874	1966	Parlophone	United States	674760	You Like Me Too Much
The Beatles	2907622	It's Only Love	14523260	Yesterday	315874	1966	Parlophone	United Kingdom	674759	It’s Only Love
The Beatles	2907622	It's Only Love	14523260	Yesterday	315874	1966	Parlophone	United States	674759	It’s Only Love
The Beatles	1308118	Drive My Car	14864278	Yesterday… and Today	155525	1966	Capitol Records	United Kingdom	613806	Drive My Car
