workid,is_cover
737418,1
15246,0
674761,0
182549,0
6377715,1
12925430,0
184966,0
2162969,0
295291,0
6302082,1
174327,0
245459,0
12462590,0
12458149,0
1469758,1
8922994,1
368508,1
7621504,1
674759,0
5652857,0
182538,0
6616974,0
174318,0
295302,1
7025700,1
1469749,1
9974934,1
8948412,0
15250,0
10188469,1
249996,0
737424,1
674752,0
6788059,0
5681695,0
12890671,0
368503,1
382868,0
155971,0
12762340,0
2162960,0
12446800,0
11686326,0
5682002,0
194150,0
286228,1
177454,0
8056162,1
269122,0
12523634,1
15257,0
1141092,0
12614584,0
182532,0
674760,0
12614586,0
6302775,1
4378180,1
198360,0
249994,0
174326,0
6795,0
12462153,0
7841507,0
12954064,0
250001,0
174320,0
1269417,0
12552267,0
12652462,0
12875999,0
286220,1
784846,1
155969,0
1190167,1
12717387,0
182551,0
198367,0
12890673,0
250006,0
12726465,0
198593,0
8274576,1
2179748,1
198971,0
184970,0
368506,0
12451376,0
8235437,0
5681696,0
6075624,1
12877772,0
8018700,0
12446929,1
8683966,1
8460334,1
218270,1
8270753,1
9299926,1
155974,0
3069327,1
12434298,0
159798,0
8115933,1
306567,0
8387505,1
1469754,1
368496,0
185379,0
7295146,0
6267351,0
304821,0
7426353,1
1469757,1
8071865,1
7286488,1
8485105,1
4561397,1
159792,0
174317,0
3440097,0
582702,0
6794,0
12489458,1
7920542,1
6186936,1
6007733,1
194161,0
368499,0
3631,0
182539,0
304816,0
6186942,0
2750305,0
12462108,0
12462558,0
12552733,0
6253455,0
8473675,0
613806,0
7524001,0
295292,0
224906,0
159795,0
174328,0
12429576,0
7906560,1
1469751,1
182548,0
286215,0
7982353,1
304817,0
15249,0
155973,0
674754,0
12759701,0
8034555,1
12459539,0
182542,0
182553,0
286216,0
15255,0
198973,0
435909,0
2374845,0
198365,0
12877771,0
286225,0
6928479,0
12614583,0
6796,0
5652941,0
248621,0
12762342,0
194529,0
182546,0
6569228,1
182543,0
8361463,1
315543,1
12543123,1
1777813,1
224909,0
12459053,0
6267352,0
6541532,1
368495,0
12762341,0
6797,0
12708696,1
8055018,1
368497,0
12543122,1
5652387,1
12462588,0
12647088,0
174323,0
6279932,0
286223,0
6954128,1
304818,0
185377,0
9442165,1
5652898,0
6372993,0
286227,0
194160,0
8322242,1
5652861,0
12470156,1
12434037,0
12726467,0
1469756,0
182557,0
10619777,0
12890668,0
295299,0
12900117,0
184968,0
159802,0
357711,0
12762339,0
306564,0
9740934,0
174322,0
12890676,0
12887710,0
6798,0
12586131,1
6377572,0
1469748,1
2238972,0
6186932,0
8018704,0
292249,0
1186559,0
295298,0
452273,0
357708,0
8235435,0
674757,0
12890674,0
368505,0
159794,0
1532808,0
755068,0
12462430,0
674758,1
12606652,0
368502,0
9442156,1
674763,0
292251,0
12460097,0
674753,0
277644,0
435911,1
12523637,1
295301,0
2941957,0
159801,0
12890669,0
12462496,0
5506905,1
6788069,0
269109,0
6302087,1
12890677,0
674756,0
737416,1
12726466,0
12445619,1
602630,0
8285324,1
8584776,0
6345419,1
155968,0
6302776,1
435908,0
8960072,0
286219,0
587423,1
177461,0
8462689,1
6058219,0
12614582,0
12444489,0
6275376,1
159799,0
12459427,0
12762336,0
9026988,1
198970,0
159797,0
11759760,0
159793,0
184967,0
109077,0
674762,0
12516025,1
8954068,0
6058204,0
5682217,0
6788061,0
12890670,0
625527,0
182534,0
12890662,0
295303,0
12778327,0
304815,0
9442151,1
286218,0
295296,0
755080,0
674755,0
813930,1
12545808,1
12523640,1
12707535,1
12543125,1
1469750,1
2648186,1
12877773,0
9026995,1
174324,0
12890675,0
188125,0
12890666,0
224903,0
12452203,1
304820,0
250005,0
302407,0
12460142,0
12762337,0
6563829,1
1097774,1
2261384,0
12543124,1
198594,0
182550,0
12614585,0
2954920,1
12641510,0
368507,0
12762338,0
8235439,0
1332982,0
224902,0
12557778,0
198599,0
12890678,0
177449,0
304822,0
295297,0
506842,1
304819,0
174321,0
6007740,1
6186937,1
2374813,1
7945955,0
12759702,1
15243,0
12562061,0
3392386,1
12545813,0
174325,0
9108219,1
